,match_id,event_id,team_color,possession_id,player_pos,start_loc,end_loc,text,outcome
0,15946,0,m,2,LM,"(59.0, 39.9)","(86.2, 52.0)","Start position: (59.0, 39.9), End Position: (86.2, 52.0) | Time: 00:00:00.575 | Phase: From Kick Off | Event: Pass",
1,15946,1,m,2,LCB,"(86.2, 52.0)","(None, None)","Start position: (86.2, 52.0) | Time: 00:00:02.591 | Phase: From Kick Off | Event: Ball Receipt*",
2,15946,2,m,2,LCB,"(86.2, 52.0)","(83.2, 52.7)","Start position: (86.2, 52.0), End Position: (83.2, 52.7) | Time: 00:00:02.591 | Phase: From Kick Off | Event: Carry",
3,15946,3,m,2,LCB,"(83.2, 52.7)","(33.5, 5.8)","Start position: (83.2, 52.7), End Position: (33.5, 5.8) | Time: 00:00:03.864 | Phase: From Kick Off | Event: Pass | Outcome: Incomplete",Incomplete
4,15946,4,m,2,CF,"(40.2, 4.1)","(None, None)","Start position: (40.2, 4.1) | Time: 00:00:07.152 | Phase: From Kick Off | Event: Ball Receipt* | Outcome: Incomplete",Incomplete
5,15946,5,m,2,CF,"(33.5, 5.8)","(None, None)","Start position: (33.5, 5.8) | Time: 00:00:07.152 | Phase: From Kick Off | Event: Duel | Type: Aerial Lost",
6,15946,6,c,3,RDM,"(33.6, 5.9)","(35.1, 18.3)","Start position: (33.6, 5.9), End Position: (35.1, 18.3) | Time: 00:00:07.152 | Phase: Regular Play | Event: Pass",
7,15946,7,c,3,LDM,"(35.1, 18.3)","(None, None)","Start position: (35.1, 18.3) | Time: 00:00:08.848 | Phase: Regular Play | Event: Ball Receipt*",
8,15946,8,c,3,LDM,"(35.1, 18.3)","(36.2, 5.3)","Start position: (35.1, 18.3), End Position: (36.2, 5.3) | Time: 00:00:08.848 | Phase: Regular Play | Event: Pass",
9,15946,9,c,3,LM,"(36.2, 5.3)","(None, None)","Start position: (36.2, 5.3) | Time: 00:00:09.984 | Phase: Regular Play | Event: Ball Receipt*",
10,15946,10,c,3,LM,"(36.2, 5.3)","(34.3, 4.9)","Start position: (36.2, 5.3), End Position: (34.3, 4.9) | Time: 00:00:09.984 | Phase: Regular Play | Event: Carry",
11,15946,11,c,3,LM,"(34.3, 4.9)","(25.3, 1.6)","Start position: (34.3, 4.9), End Position: (25.3, 1.6) | Time: 00:00:10.873 | Phase: Regular Play | Event: Pass",
12,15946,12,c,3,LB,"(25.3, 1.6)","(None, None)","Start position: (25.3, 1.6) | Time: 00:00:11.630 | Phase: Regular Play | Event: Ball Receipt*",
13,15946,13,c,3,LB,"(25.7, 1.6)","(90.1, 11.5)","Start position: (25.7, 1.6), End Position: (90.1, 11.5) | Time: 00:00:11.630 | Phase: Regular Play | Event: Pass | Outcome: Incomplete",Incomplete
14,15946,14,m,3,RCB,"(90.0, 11.4)","(None, None)","Start position: (90.0, 11.4) | Time: 00:00:16.356 | Phase: Regular Play | Event: Ball Recovery",
15,15946,15,m,3,RCB,"(90.0, 11.4)","(84.2, 10.3)","Start position: (90.0, 11.4), End Position: (84.2, 10.3) | Time: 00:00:16.356 | Phase: Regular Play | Event: Carry",
16,15946,16,m,3,RCB,"(84.2, 10.3)","(13.6, 24.2)","Start position: (84.2, 10.3), End Position: (13.6, 24.2) | Time: 00:00:25.125 | Phase: Regular Play | Event: Pass | Outcome: Incomplete",Incomplete
17,15946,17,c,3,G,"(13.7, 24.3)","(None, None)","Start position: (13.7, 24.3) | Time: 00:00:29.278 | Phase: Regular Play | Event: Ball Recovery",
18,15946,18,c,3,G,"(13.7, 24.3)","(13.5, 28.0)","Start position: (13.7, 24.3), End Position: (13.5, 28.0) | Time: 00:00:29.278 | Phase: Regular Play | Event: Carry",
19,15946,19,c,3,G,"(13.5, 28.0)","(22.5, 42.5)","Start position: (13.5, 28.0), End Position: (22.5, 42.5) | Time: 00:00:30.460 | Phase: Regular Play | Event: Pass",
20,15946,20,c,3,RCB,"(22.5, 42.5)","(None, None)","Start position: (22.5, 42.5) | Time: 00:00:31.761 | Phase: Regular Play | Event: Ball Receipt*",
21,15946,21,c,3,RCB,"(22.5, 42.5)","(33.0, 48.3)","Start position: (22.5, 42.5), End Position: (33.0, 48.3) | Time: 00:00:31.761 | Phase: Regular Play | Event: Carry",
22,15946,22,c,3,RCB,"(33.0, 48.3)","(45.2, 65.0)","Start position: (33.0, 48.3), End Position: (45.2, 65.0) | Time: 00:00:35.161 | Phase: Regular Play | Event: Pass",
23,15946,23,c,3,RB,"(45.2, 65.0)","(None, None)","Start position: (45.2, 65.0) | Time: 00:00:36.418 | Phase: Regular Play | Event: Ball Receipt*",
24,15946,24,c,3,RB,"(45.2, 65.0)","(48.8, 67.1)","Start position: (45.2, 65.0), End Position: (48.8, 67.1) | Time: 00:00:36.418 | Phase: Regular Play | Event: Carry",
25,15946,25,c,3,RB,"(48.8, 67.1)","(54.8, 61.8)","Start position: (48.8, 67.1), End Position: (54.8, 61.8) | Time: 00:00:37.805 | Phase: Regular Play | Event: Pass",
26,15946,26,c,3,RM,"(54.8, 61.8)","(None, None)","Start position: (54.8, 61.8) | Time: 00:00:38.521 | Phase: Regular Play | Event: Ball Receipt*",
27,15946,27,c,3,RM,"(54.8, 61.8)","(54.8, 61.8)","Start position: (54.8, 61.8), End Position: (54.8, 61.8) | Time: 00:00:38.521 | Phase: Regular Play | Event: Carry",
28,15946,28,c,3,RM,"(54.8, 61.8)","(49.7, 65.0)","Start position: (54.8, 61.8), End Position: (49.7, 65.0) | Time: 00:00:38.601 | Phase: Regular Play | Event: Pass",
29,15946,29,c,3,RB,"(49.7, 65.0)","(None, None)","Start position: (49.7, 65.0) | Time: 00:00:39.525 | Phase: Regular Play | Event: Ball Receipt*",
30,15946,30,c,3,RB,"(49.7, 65.0)","(49.3, 62.8)","Start position: (49.7, 65.0), End Position: (49.3, 62.8) | Time: 00:00:39.525 | Phase: Regular Play | Event: Carry",
31,15946,31,c,3,RB,"(49.3, 62.8)","(36.6, 33.3)","Start position: (49.3, 62.8), End Position: (36.6, 33.3) | Time: 00:00:40.329 | Phase: Regular Play | Event: Pass",
32,15946,32,c,3,LCB,"(36.6, 33.3)","(None, None)","Start position: (36.6, 33.3) | Time: 00:00:42.195 | Phase: Regular Play | Event: Ball Receipt*",
33,15946,33,c,3,LCB,"(36.6, 33.3)","(44.8, 24.5)","Start position: (36.6, 33.3), End Position: (44.8, 24.5) | Time: 00:00:42.195 | Phase: Regular Play | Event: Carry",
34,15946,34,c,3,LCB,"(44.8, 24.5)","(54.6, 4.4)","Start position: (44.8, 24.5), End Position: (54.6, 4.4) | Time: 00:00:44.358 | Phase: Regular Play | Event: Pass",
35,15946,35,c,3,LB,"(54.6, 4.4)","(None, None)","Start position: (54.6, 4.4) | Time: 00:00:45.652 | Phase: Regular Play | Event: Ball Receipt*",
36,15946,36,c,3,LB,"(54.6, 4.4)","(53.3, 6.6)","Start position: (54.6, 4.4), End Position: (53.3, 6.6) | Time: 00:00:45.652 | Phase: Regular Play | Event: Carry",
37,15946,37,c,3,LB,"(53.3, 6.6)","(54.6, 11.9)","Start position: (53.3, 6.6), End Position: (54.6, 11.9) | Time: 00:00:46.978 | Phase: Regular Play | Event: Pass",
38,15946,38,c,3,LDM,"(54.6, 11.9)","(None, None)","Start position: (54.6, 11.9) | Time: 00:00:47.649 | Phase: Regular Play | Event: Ball Receipt*",
39,15946,39,c,3,LDM,"(54.6, 11.9)","(52.7, 16.0)","Start position: (54.6, 11.9), End Position: (52.7, 16.0) | Time: 00:00:47.649 | Phase: Regular Play | Event: Carry",
40,15946,40,c,3,LDM,"(52.7, 16.0)","(51.2, 54.3)","Start position: (52.7, 16.0), End Position: (51.2, 54.3) | Time: 00:00:49.540 | Phase: Regular Play | Event: Pass",
41,15946,41,c,3,RCB,"(51.2, 54.3)","(None, None)","Start position: (51.2, 54.3) | Time: 00:00:52.706 | Phase: Regular Play | Event: Ball Receipt*",
42,15946,42,c,3,RCB,"(51.2, 54.3)","(55.5, 55.3)","Start position: (51.2, 54.3), End Position: (55.5, 55.3) | Time: 00:00:52.706 | Phase: Regular Play | Event: Carry",
43,15946,43,c,3,RCB,"(55.5, 55.3)","(54.6, 33.3)","Start position: (55.5, 55.3), End Position: (54.6, 33.3) | Time: 00:00:54.628 | Phase: Regular Play | Event: Pass",
44,15946,44,c,3,LCB,"(54.6, 33.3)","(None, None)","Start position: (54.6, 33.3) | Time: 00:00:56.092 | Phase: Regular Play | Event: Ball Receipt*",
45,15946,45,c,3,LCB,"(54.6, 33.3)","(62.3, 26.0)","Start position: (54.6, 33.3), End Position: (62.3, 26.0) | Time: 00:00:56.092 | Phase: Regular Play | Event: Carry",
46,15946,46,c,3,LCB,"(62.3, 26.0)","(62.9, 44.6)","Start position: (62.3, 26.0), End Position: (62.9, 44.6) | Time: 00:01:00.375 | Phase: Regular Play | Event: Pass",
47,15946,47,c,3,RCB,"(62.9, 44.6)","(None, None)","Start position: (62.9, 44.6) | Time: 00:01:02.186 | Phase: Regular Play | Event: Ball Receipt*",
48,15946,48,c,3,RCB,"(62.9, 44.6)","(65.9, 52.1)","Start position: (62.9, 44.6), End Position: (65.9, 52.1) | Time: 00:01:02.186 | Phase: Regular Play | Event: Carry",
49,15946,49,c,3,RCB,"(65.9, 52.1)","(76.9, 73.9)","Start position: (65.9, 52.1), End Position: (76.9, 73.9) | Time: 00:01:04.026 | Phase: Regular Play | Event: Pass",
50,15946,50,c,3,LCF,"(76.9, 73.9)","(None, None)","Start position: (76.9, 73.9) | Time: 00:01:05.412 | Phase: Regular Play | Event: Ball Receipt*",
51,15946,51,c,3,LCF,"(76.9, 73.9)","(77.3, 74.2)","Start position: (76.9, 73.9), End Position: (77.3, 74.2) | Time: 00:01:05.412 | Phase: Regular Play | Event: Carry",
52,15946,52,c,3,LCF,"(77.3, 74.2)","(97.6, 59.4)","Start position: (77.3, 74.2), End Position: (97.6, 59.4) | Time: 00:01:06.639 | Phase: Regular Play | Event: Pass | Outcome: Incomplete",Incomplete
